"skillKategori","navn","niveau","senestAar","antalAar"
"1","In house softwareudvikling","4","2018","18"
"1","IT – konsulent / ingeniørfirma","4","2013","10"
"1","Selvstændig","3","2018","3"
"1","Kommuner og amter","3","2013","18"
"1","Offentlig forvaltning","2","2003","8"
"2","User stories","4","2017","4"
"2","Teknisk projektledelse","4","2017","10"
"2","Agile metoder, Scrum & Sprints","3","2016","3"
"2","Kravspecifikation","3","2010","12"
"2","Integration","3","2013","10"
"2","GIT","4","2018","3"
"2","Design Patterns","2","2018","6"
"2","Analyse og design","4","2017","10"
"2","Open Source","3","2017","13"
"2","IT-arkitektur","3","2017","14"
"2","Continuous delivery","2","2017","3"
"2","JIRA","2","2013","10"
"3","PostgreSql","4","2017","10"
"3","MySQL 4.4-4.7","4","2017","4"
"3","MS Access","3","2006","4"
"3","MS SQL Server","3","2013","4"
"3","Oracle DB Server","2","2013","10"
"3","JDBC","2","2017","4"
"3","MongoDB","1","2018","1"
"3","Apache Lucene","1","2017","1"
"3","GIS/Spatial data","5","2017","18"
"3","XML/XSD/XSLT/Xpath","3","2013","13"
"4","Windows 7 + 10","4","2018","10"
"4","Linux","3","2017","13"
"4","Ubuntu","3","2018","3"
"4","Windows 2008 R2 + 2012","3","2013","4"
"4","Apache HTTP Server","3","2017","12"
"4","Apache Tomcat","3","2017","12"
"4","IIS","3","2013","10"
"4","MapServer","4","2013","12"
"4","GeoServer","3","2017","3"
"4","Node.js","2","2017","2"
"5","Twitter Bootstrap","2","2018","3"
"5","Angular/Angular 2+","2","2018","2"
"5","JavaScript","5","2017","20"
"5","TypeScript","2","2018","2"
"5","HTML/DHTML","5","2017","20"
"5","SOA","3","2013","8"
"5","REST","3","2017","3"
"5","Java 8","3","2018","4"
"5","SOAP","3","2013","8"
"5","JSON","3","2017","6"
"5","OpenStreetMap","4","2017","6"
"5","HTML4","2","2018","3"
"6","Eclipse","3","2016","6"
"6","Maven","3","2017","3"
"6","JQuery","3","2017","8"
"6","IntelliJ IDEA","2","2017","1"
"6","NPM","3","2018","3"
"6","Visual Studio Code","2","2018","2"
"6","Logging og debugging","2","2017","8"
"6","JUnit","2","2018","3"